staff_number,item_number,item_name,quantity,cost,discounts_VIP,discounts_VIPDay95,discounts_VIPDay123,customer_number,order
123456,4018,Pineapple,3,1.99,TRUE,0.01,0.05,7654321,1
123456,5017,Watermelon,4,3.99,TRUE,0.01,0.05,7654321,1
223456,6014,Strawberry,3,1.99,FALSE,0,0,7654322,2
223456,6084,Blueberry,2,3.99,FALSE,0,0,7654322,2
351661,1121,MetaSpeed Shampoo,8,27,TRUE,0.01,0,7654323,3
351661,7200,Papaya,32,3.99,TRUE,0.01,0,7654323,3
456321,7400,Peach,43,1.99,FALSE,0,0,7654324,4
456321,7600,Pear,12,3.99,FALSE,0,0,7654324,4
534569,7800,Grape,3,1.99,FALSE,0,0,7654325,5
534569,7900,Cherry,2,3.99,FALSE,0,0,7654325,5
633456,8000,Raspberry,6,1.99,FALSE,0,0,7654326,6
633456,8100,Blackberry,2,3.99,FALSE,0,0,7654326,6
734567,4018,KF-95 Anti-Cpvid Mask,6,280,FALSE,0,0,7654327,7
734567,8300,Lime,2,3.99,FALSE,0,0,7654327,7
878987,8400,Orange,30,1.99,FALSE,0,0,7654328,8
878987,8500,Banana,1,3.99,FALSE,0,0,7654328,8
999999,8200,Lemon,3,1.99,TRUE,0,0.04,7654329,9
999999,8300,Lime,2,3.99,TRUE,0,0.04,7654329,9
999999,8600,Apple,3,1.99,TRUE,0,0.04,7654329,9
999999,8700,Pineapple,2,3.99,TRUE,0,0.04,7654329,9
999999,6084,Blueberry,200,3.99,TRUE,0,0.04,7654329,9
999999,8000,Raspberry,3,1.99,TRUE,0,0.04,7654329,9
999999,1121,MetaSpeed Shampoo,2,27,TRUE,0,0.04,7654329,9
999999,2134,BTM Baby Powder,5,198,TRUE,0,0.04,7654329,9
999999,3019,Covid-19 Test kit,8,52.9,TRUE,0,0.04,7654329,9
